age,employment_type,monthly_income,foir,credit_utilization,payment_history_score,employment_stability_score,debt_burden_score,inquiry_pressure_score,loan_to_income_ratio,requested_loan_type,creditworthiness_score,defaulted
59,self_employed,64335.8038464999,25.76855345602496,11.043871468920887,100.0,52.634474952550704,46.42343799932135,52.29539308616811,2.6309096151938824,home,600.537382343342,0
32,self_employed,37699.98955615233,0.0,47.06882450076263,69.97912063828447,50.90332208763075,35.47340613690797,99.73961916094402,10.220541313649239,home,664.6662998267216,0
59,govt_salaried,51408.70999065976,44.96981514124778,32.19563005285984,74.3361319986691,36.27308691391612,49.43235985818212,88.97685715438033,4.477323210859733,education,839.7020703246831,0
22,private_salaried,59556.12692901642,39.844996959174466,7.131661182545926,31.433315063525825,28.902589794129124,68.45387413051023,76.48397535105464,0.9883195442799608,personal,528.9097588561871,0
44,private_salaried,58209.80817033506,8.554397669558991,41.4816793878959,67.29835439167367,38.07694999235103,77.23352577681736,90.61999044991902,3.688036315108784,home,761.7536142939439,0
29,self_employed,66073.45278061168,27.81238643232065,31.286820466723658,52.873300519879436,25.09483439798323,81.25051644788397,97.12480057141646,5.455629781003787,home,689.2214268764017,0
25,private_salaried,48150.50862166928,58.46965483721009,0.0,91.43805008750448,57.17617670595428,59.01985299068265,71.83521553071004,5.953163824614939,education,411.49173024789286,0
33,govt_salaried,153831.47922544702,22.872595956602186,24.96485912830927,93.30804235404148,63.21877774149211,54.404795924659226,80.26534866226712,5.577033513088903,education,557.1148483104196,0
53,private_salaried,24966.86971006479,19.71390821947895,37.54024478743597,50.011125544001466,100.0,61.93327084967719,51.86025549190239,0.46068177415707023,car,551.9175013852605,0
32,private_salaried,53492.081170065154,6.218431770514378,34.46972249101566,76.20460419882053,100.0,61.15278070437755,76.03094684667225,0.3913271524636744,car,885.8041716710557,0
31,private_salaried,70538.68467354389,25.7139595946756,42.123196607787605,74.5623825132247,85.45126094391276,57.21083951393036,61.143953101887156,1.7742016547317103,car,695.3871937689023,0
39,self_employed,38111.15014186501,26.957598497314667,56.93057712989765,83.56025681978855,0.0,74.63958278005789,88.52912717240645,3.32210332509473,personal,747.6220660843603,0
22,business,50585.09769119197,42.52394548019259,32.061092141592546,78.6124594748044,79.12026455821088,43.70337694273988,72.17423599254771,1.2959188446006595,home,662.6916376433313,0
58,self_employed,55057.14080204762,7.252955942536527,58.37262486901068,55.29236405748625,27.65148977328815,7.410862130552481,53.93644669974705,12.98825717647852,car,533.0381995727214,0
40,private_salaried,75630.48710703167,49.37620754319948,43.36237043911173,37.269439084287235,100.0,67.93949300914433,80.79218403167332,9.645359563473937,education,470.20452351536835,0
50,self_employed,74131.18882250156,47.751808731857864,42.8867990292966,74.90608010652882,15.729700411809617,94.59697550397105,77.93548562542257,0.11145746776371579,car,623.1844657608979,0
44,private_salaried,141413.4440560705,58.19805133207264,16.009619096422835,63.06205336874495,52.21990000474327,30.01861131656773,43.17193004107671,4.648166231651116,education,455.396645486782,0
42,private_salaried,52937.25127788848,22.171392216802836,14.45876482128806,92.6567532101878,43.76739034760545,73.37278938345203,55.436415012733335,2.011985073052784,personal,711.8042320650392,0
33,govt_salaried,37124.31969089392,33.083977573041714,3.78885855125462,100.0,24.99670655674592,89.02760888435381,72.99667432679196,0.7200431899517311,personal,666.9088841685586,0
53,self_employed,84497.337036158,53.155979497049586,31.975280690155415,67.5095688181906,22.71959717159543,49.689812683853226,78.44627523328128,0.3560567866792148,personal,406.98288960108715,0
39,private_salaried,33325.91032062295,59.91952595912231,28.315058176992647,68.64306186978833,62.944175810927966,32.75545385650953,88.90763380175135,0.8210306534724898,car,801.9688226447449,0
49,private_salaried,54908.55317995804,24.038878951555198,9.4016053347374,70.25216077586661,100.0,64.61115718200904,51.34816686877838,1.603625830235928,home,900.0,0
25,business,49065.273634145735,46.339029226874786,73.67085258859983,83.27749674501615,69.19420919394062,67.96363462758299,93.44871564784485,2.826560688678079,education,713.7680013152395,0
57,self_employed,140879.30653935374,42.52140135539123,56.21277157642821,61.6205034536663,33.29789436488781,54.099247693058174,44.6523539697533,0.1,personal,591.6280680737167,0
46,self_employed,26393.804258837656,22.63023008523391,74.02560171471508,74.19829725253993,68.23588779134506,61.32216524543959,68.19842733639587,8.572491936370252,car,589.2943936118847,0
55,private_salaried,34369.884901674806,54.16497343682637,23.1685722232834,85.94194762340075,49.94518368915265,60.646375935455595,91.9755370397438,3.4744617912386526,home,574.7770556554215,0
40,self_employed,68938.94147417921,30.34599865109816,41.483327049768846,72.39713891264631,57.424899124817955,76.90314050873828,53.63558633533055,0.8675569468654926,home,900.0,0
36,self_employed,56086.97148111761,34.81629840729628,17.05491257028337,76.51609116387452,38.07095721219721,84.50239466835502,67.05885236995722,1.0804790486697127,personal,660.8087104377994,0
